Date,Load,Zone
1/1/2017 9:00:00 AM,1519,West
1/1/2017 9:00:00 AM,15652,NYISO
1/1/2017 10:00:00 AM,1363,Capitl
1/1/2017 10:00:00 AM,1674,Centrl
1/1/2017 10:00:00 AM,636,Dunwod
1/1/2017 10:00:00 AM,947,Genese
1/1/2017 10:00:00 AM,1065,Hud Vl
1/1/2017 10:00:00 AM,2137,Longil
1/1/2017 10:00:00 AM,818,Mhk Vl
1/1/2017 10:00:00 AM,324,Millwd
1/1/2017 10:00:00 AM,4990,N.Y.C.
1/1/2017 10:00:00 AM,587,North
1/1/2017 10:00:00 AM,1551,West
1/1/2017 10:00:00 AM,16092,NYISO
1/1/2017 11:00:00 AM,1375,Capitl
1/1/2017 11:00:00 AM,1696,Centrl
1/1/2017 11:00:00 AM,652,Dunwod
1/1/2017 11:00:00 AM,972,Genese
1/1/2017 11:00:00 AM,1084,Hud Vl
1/1/2017 11:00:00 AM,2198,Longil
1/1/2017 11:00:00 AM,816,Mhk Vl
1/1/2017 11:00:00 AM,330,Millwd
1/1/2017 11:00:00 AM,5120,N.Y.C.
1/1/2017 11:00:00 AM,584,North
1/1/2017 11:00:00 AM,1571,West
1/1/2017 11:00:00 AM,16398,NYISO
1/1/2017 12:00:00 PM,330,Millwd
1/1/2017 12:00:00 PM,1375,Capitl
1/1/2017 12:00:00 PM,5181,N.Y.C.
1/1/2017 12:00:00 PM,1705,Centrl
1/1/2017 12:00:00 PM,581,North
1/1/2017 12:00:00 PM,659,Dunwod
1/1/2017 12:00:00 PM,1580,West
1/1/2017 12:00:00 PM,984,Genese
1/1/2017 12:00:00 PM,16517,NYISO
1/1/2017 12:00:00 PM,1087,Hud Vl
1/1/2017 12:00:00 PM,2229,Longil
1/1/2017 12:00:00 PM,806,Mhk Vl
1/1/2017 1:00:00 PM,1361,Capitl
1/1/2017 1:00:00 PM,1684,Centrl
1/1/2017 1:00:00 PM,659,Dunwod
1/1/2017 1:00:00 PM,981,Genese
1/1/2017 1:00:00 PM,1074,Hud Vl
1/1/2017 1:00:00 PM,2237,Longil
1/1/2017 1:00:00 PM,789,Mhk Vl
1/1/2017 1:00:00 PM,326,Millwd
1/1/2017 1:00:00 PM,5190,N.Y.C.
1/1/2017 1:00:00 PM,571,North
1/1/2017 1:00:00 PM,1576,West
1/1/2017 1:00:00 PM,16448,NYISO
1/1/2017 2:00:00 PM,1349,Capitl
1/1/2017 2:00:00 PM,1662,Centrl
1/1/2017 2:00:00 PM,659,Dunwod
1/1/2017 2:00:00 PM,975,Genese
1/1/2017 2:00:00 PM,1064,Hud Vl
1/1/2017 2:00:00 PM,2236,Longil
